3,1956967789,enthusiasm,wants to hang out with friends SOON!
4,1956968416,positive,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
14,1956970860,surprise,Got the news
16,1956971170,love,@annarosekerr agreed
21,1956972097,fun,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
34,1956975927,positive,SoCal!  stoked. or maybe not.. tomorrow
40,1956977084,happiness,mmm much better day... so far! it's still quite early. last day of #uds
41,1956977187,fun,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
50,1956979894,positive,Chocolate milk is so much better through a straw. I lack said straw
56,1956981427,enthusiasm,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to"
58,1956982075,positive,@lostluna But I got dibs on Sulu...
69,1956983874,happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
72,1956984205,positive,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
77,1956985535,happiness,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
90,1956988145,positive,@lepetitagneau what's going on sweetheart?
94,1956989093,love,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
113,1956993080,positive,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
120,1956995852,positive,Well it almost was a good day... Guess I just retry tomorrow
122,1956996385,love,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
126,1956996765,happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
130,1956997619,positive,"claire @breakfastnt love the show, got into the office @ 5am and no radio"
131,1956998370,love,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
137,1957000077,positive,miss 16'th
140,1957000314,positive,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby
142,1957000372,positive,what is it with chocolates? i just can never say no
144,1957001049,positive,@ether_radio i'm too awake now  ill have a nap this afternoon
147,1957001506,relief,I'm at work
148,1957001854,fun,RIP leonardo. You were a great mini fiddler crab
151,1957002773,love,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
156,1957003715,positive,"where are all ma bestfriends at ? , MIA or wat ?"
164,1957005410,surprise,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
165,1957005696,fun,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.
169,1957006074,positive,fun in the sun hmmm hell no it's cold
179,1957007268,fun,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?
182,1957007437,fun,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay"
189,1957008434,surprise,@Bern_morley where are you? In Bris? I can't hear any thunder
190,1957008478,surprise,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!"
192,1957008766,surprise,I had a dream about a pretty pretty beach and there was no beach when I woke up
194,1957008987,surprise,when da heck will the garage man get here I ask you.. WHEN..
198,1957010329,fun,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
205,1957013149,positive,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!
207,1957013488,positive,@aiderushton ill be over in an oir
210,1957013804,love,@bobbyedner i missed the game
215,1957014389,relief,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat"
223,1957016086,surprise,Why am I completing facebook quizzes at this time of the morning... especially a friday morning
224,1957016169,positive,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry
231,1957017333,positive,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.
233,1957017522,happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
234,1957017595,happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
235,1957017610,positive,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"
246,1957020385,happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
250,1957020702,happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
251,1957020861,positive,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"
255,1957021321,surprise,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
259,1957022799,surprise,@FoxxFiles aw u can't let me in on the secret!
260,1957023061,surprise,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like."
273,1957028656,surprise,is thinking so much and i'm at work
277,1957029634,surprise,my gap year is going so quick
279,1957029899,positive,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home
286,1957031859,fun,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
289,1957032114,surprise,@qi_tah oh no.  *hugs*
293,1957033043,happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
306,1957034983,positive,@digenis that story reminds of living in Portugal
308,1957035564,happiness,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
310,1957036183,positive,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.
312,1957037860,relief,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha"
353,1957045692,happiness,english class! working on interactive orals
355,1957046053,positive,@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?
358,1957046815,positive,in 7-11  w/o you
374,1957052211,positive,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her"
379,1957053338,surprise,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho
380,1957053409,relief,is home.  safely... but hungry
383,1957055396,positive,good morning work this morning gutted lol nevermind
385,1957055981,happiness,FB is boring   and i wanna sing RIGHT NOW..! *-*
387,1957056041,positive,@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble
392,1957058130,surprise,@heavenjones ur supposed to be in BK tho
394,1957058436,surprise,Oh no!  Nighty night.
395,1957058504,happiness,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
397,1957059587,love,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is
398,1957059671,positive,Ready To Go @ School
400,1957060283,positive,@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today
406,1957062621,relief,"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go"
408,1957062698,love,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!
419,1957065570,relief,"@AnthonyLucas @iainfunnell Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward..."
422,1957066701,enthusiasm,I want another tatt
423,1957067386,positive,@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:
424,1957067779,enthusiasm,"So, I need to make a lot of money tomorrow"
430,1957070273,surprise,@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.
431,1957070484,positive,"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing"
434,1957070871,positive,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....
438,1957072400,love,Pug just woke me from an incredible sleep!
439,1957072637,love,@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!
444,1957073668,enthusiasm,@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun
447,1957074101,surprise,omg i didnt tweet all that much today.... *sadness*
453,1957075180,positive,Smh @ hiphop nursery rhymes
455,1957075268,happiness,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
456,1957075370,surprise,@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work
462,1957076450,love,there's really no android twitter app of Tweetie's calibre
471,1957079355,fun,"i should be finished.... but i'm not.  color drawing, here i come."
491,1957083084,love,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"
497,1957084165,surprise,@ModelTheany  tee we beefin....what was u supposed to do before leavin????
503,1957084935,positive,@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one
508,1957086137,happiness,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
